sample_ID	sample_type	order	sample_site	feeding_habits	bird_type	num_seqs	Group	sample_type2
MDX016-NCJD-19BM-146-RNA-D19-20200525.D19.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	453372629	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-147-RNA-D20-20200525.D20.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	445971787	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-148-RNA-D21-20200525.D21.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	416825821	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-149-RNA-D22-20200525.D22.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	428912766	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-150-RNA-D23-20200525.D23.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	476088849	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-151-RNA-D24-20200525.D24.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	500316335	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-152-RNA-D25-20200525.D25.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	465496034	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-153-RNA-D26-20200525.D26.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	470692082	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-154-RNA-D27-20200525.D27.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	421424286	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-155-RNA-D28-20200525.D28.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	403007848	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-156-RNA-D29-20200525.D29.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	389036667	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-157-RNA-D30-20200525.D30.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	434605118	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-158-RNA-D31-20200525.D31.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	410851063	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-159-RNA-D32-20200525.D32.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	431910875	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-160-RNA-D33-20200525.D33.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	414611870	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-161-RNA-D34-20200525.D34.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	429625994	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-162-RNA-D35-20200525.D35.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	401206493	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-163-RNA-D36-20200525.D36.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	386862407	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-164-RNA-D37-20200525.D37.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	385958785	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-165-RNA-D38-20200525.D38.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	360942672	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-166-RNA-D39-20200525.D39.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	427729388	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-167-RNA-D40-20200525.D40.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	403502663	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-168-DNA-C01-20200707.C01.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	803920691	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-169-DNA-C02-20200707.C02.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	780703238	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-170-DNA-C03-20200707.C03.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	765687874	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BM-171-DNA-C04-20200707.C04.R1	Cloacal_swab	Anseriformes	HH	Herbivorous	Natatores	857599450	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BM-172-DNA-C05-20200707.C05.R1	Pharyngeal_swab	Anseriformes	HH	Herbivorous	Natatores	778403989	Natatores-Herbivorous	Pharyngeal_swab
MDX016-NCJD-19BV-16-DNA-C06-20200707.C06.R1	Faeces	Charadriiformes	HH	Carnivorous	Wader	838669939	Wader-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-17-DNA-C07-20200707.C07.R1	Faeces	Charadriiformes	HH	Carnivorous	Wader	770210957	Wader-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-18-DNA-C08-20200707.C08.R1	Faeces	Podicipediformes	HH	Carnivorous	Natatores	721272156	Natatores-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-19-DNA-C09-20200707.C09.R1	Faeces	Podicipediformes	HH	Carnivorous	Natatores	847912127	Natatores-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-20-DNA-C10-20200707.C10.R1	Faeces	Podicipediformes	HH	Carnivorous	Natatores	614829712	Natatores-Carnivorous	Faeces-like_sample
MDX016-NCJD-19BV-21-DNA-C11-20200707.C11.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	679478247	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-22-DNA-C12-20200707.C12.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	690650360	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-23-DNA-C13-20200707.C13.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	184390432	Natatores-Herbivorous	Faeces-like_sample
MDX016-NCJD-19BV-24-DNA-C14-20200707.C14.R1	Faeces	Anseriformes	HH	Herbivorous	Natatores	746957575	Natatores-Herbivorous	Faeces-like_sample
